Wall time,Step,Value
1747541312.2372673,158,-0.5
1747541394.2295485,159,-2.125
1747541457.4721901,160,3.28125
1747541543.8543243,161,-1.34375
1747541619.3723006,162,-2.46875
1747541691.0670009,163,-4.09375
1747541767.8504825,164,-3.28125
1747541840.5317712,165,-2.3125
1747541907.9374344,166,-3.28125
1747541979.3337438,167,-3.3125
1747542041.5202491,168,3.0625
1747542109.8816268,169,-1.90625
1747542192.3177726,170,1.46875
1747542252.151679,171,-2.3125
1747542313.7766793,172,-1.3125
1747542376.5941179,173,-0.15625
1747542432.1642807,174,2.625
1747542505.271515,175,-1.90625
1747542577.5631816,176,-2.3125
1747542650.3547435,177,1.15625
1747542712.2642105,178,-1.1875
1747542780.2994952,179,-0.28125
1747542850.5875313,180,-2.21875
1747542911.7369883,181,-0.34375
1747542978.714366,182,-2.09375
1747543044.5321598,183,-2.0625
1747543115.063367,184,-3.09375
1747543175.076717,185,-4.5
1747543238.1533709,186,-4.09375
1747543302.1536272,187,0.71875
1747543366.4379094,188,-0.09375
1747543427.9064655,189,-0.75
1747543508.2598474,190,-2.28125
1747543567.9694958,191,-3.90625
1747543642.796161,192,0.0
1747543708.5957074,193,-2.71875
1747543773.5740933,194,0.0
1747543841.2853081,195,-1.90625
1747543918.547645,196,-1.15625
1747543990.4547374,197,1.28125
1747544062.9848478,198,-0.03125
1747544133.2711456,199,-1.3125
1747544199.4830267,200,-2.3125
1747544267.4621122,201,-0.5
1747544336.410865,202,-2.875
1747544406.7259173,203,-1.5
1747544468.5991848,204,-0.71875
1747544533.4244661,205,-4.5
1747544603.5430398,206,1.75
1747544673.9925294,207,-3.28125
1747544757.9250014,208,2.375
1747544816.7030013,209,0.09375
1747544900.9810822,210,-2.5625
1747544973.3748767,211,-0.625
1747545041.621796,212,-3.0
1747545117.6192975,213,-3.28125
1747545183.8163288,214,0.25
1747545249.1999438,215,-3.09375
1747545339.9781685,216,-2.40625
1747545410.519444,217,-2.3125
1747545486.7843437,218,-0.4375
1747545558.6313536,219,-0.21875
1747545622.4896715,220,-2.5625
1747545688.0446596,221,-3.09375
1747545762.2646203,222,1.75
1747545844.686644,223,-2.25
1747545908.2454805,224,-1.03125
1747545972.7847788,225,-1.3125
1747546043.620501,226,-0.4375
