Wall time,Step,Value
1747523126.960584,8,0.0
1747526072.873312,1,-0.0
1747526168.3377028,2,0.0
1747526493.697432,1,-0.0
1747527719.4289975,1,-0.0
1747527804.3827903,2,-0.0
1747527867.456238,3,0.0
1747527941.5504918,4,0.0
1747528027.5878701,5,0.0
1747528100.4083917,6,0.0
1747528187.32672,7,0.0
1747528257.7193284,8,0.0
1747528327.3858042,9,0.0
1747528397.9850037,10,0.0
1747528478.3702056,11,0.0
1747528550.431927,12,0.0
1747528616.5933006,13,0.0
1747528695.173399,14,0.0
1747528780.5695748,15,0.0
1747528850.1587837,16,0.0
1747528917.3448977,17,0.0
1747528997.7701144,18,0.0
1747529068.965698,19,0.0
1747529152.1065595,20,0.0
1747529232.7213829,21,0.0
1747529300.5883837,22,0.0
1747529371.7856796,23,0.0
1747529465.7173162,1,0.0003000000142492354
1747529546.0242753,2,0.0
1747529615.3958175,3,0.0
1747529695.5997105,4,0.0
1747529780.984306,5,0.0
1747529863.592249,6,0.0
1747529937.2871706,7,0.0
1747530003.9539897,8,0.0
1747530074.4599073,9,0.0
1747530154.154709,10,0.0
1747530240.170505,11,0.0
1747530330.4360027,12,0.0
1747530422.321801,13,0.0
1747530499.9716315,14,0.0
1747530575.3150876,15,0.0
1747530657.754482,16,0.0
1747530729.6711068,17,0.0
1747530805.1063936,18,0.0
1747530897.6165311,19,0.0
1747530970.5047712,20,0.0
1747531045.8242662,21,0.0
1747531117.4773874,22,0.0
1747531190.1818616,23,0.0
1747531263.3716264,24,0.0
1747531339.6373715,25,0.0
1747531426.1449797,26,0.0
1747531501.8741074,27,0.0
1747531574.411918,28,0.0
1747531647.0105524,29,0.0
1747531724.5409832,30,0.0
1747531793.9330435,31,0.0
1747531862.3540697,32,0.0
1747531940.0444076,33,0.0
1747532026.2594967,34,0.0
1747532106.900081,35,0.0
1747532176.8430946,36,0.0
1747532257.4016306,37,0.0
1747532338.6198094,38,0.0
1747532415.1527002,39,0.0
1747532489.5931573,40,0.0
1747532562.7127616,41,0.0
1747532635.6206195,42,0.0
1747532714.4985309,43,0.0
1747532782.006652,44,0.0
1747532862.1261594,45,0.0
1747532946.1929076,46,0.0
1747533015.1795278,47,0.0
1747533086.7640896,48,0.0
1747533154.135149,49,0.0
1747533231.332881,50,0.0
1747533301.9224997,51,0.0
1747533380.7212086,52,0.0
1747533450.1633012,53,0.0
1747533523.2273884,54,0.0
1747533590.321587,55,0.0
1747533660.6651425,56,0.0
1747533741.4049804,57,0.0
1747533800.5022116,58,0.0
1747533875.407518,59,0.0
1747533956.0126216,60,0.0
1747534022.627317,61,0.0
1747534094.4883313,62,0.0
1747534172.5170703,63,0.0
1747534261.2955062,64,0.0
1747534336.5190654,65,0.0
1747534414.3772657,66,0.0
1747534481.5429206,67,0.0
1747534563.6635864,68,0.0
1747534633.4188929,69,0.0
1747534716.198935,70,0.0
1747534797.4874105,71,0.0
1747534877.0354235,72,0.0
1747534949.8700023,73,0.0
1747535018.7467213,74,0.0
1747535101.6953478,75,0.0
1747535180.3143055,76,0.0
1747535257.379752,77,0.0
1747535339.50412,78,0.0
1747535407.9922917,79,0.0
1747535484.6831832,80,0.0
1747535560.857024,81,0.0
1747535637.5217822,82,0.0
1747535704.0705817,83,0.0
1747535768.0520842,84,0.0
1747535849.4147203,85,0.0
1747535922.6350644,86,9.999999747378752e-05
1747535993.3069062,87,0.0
1747536065.6527355,88,0.0
1747536149.1292927,89,0.0
1747536226.322255,90,9.999999747378752e-05
1747536300.59148,91,9.999999747378752e-05
1747536380.6369345,92,9.999999747378752e-05
1747536460.42189,93,0.00019999999494757503
1747536531.195164,94,9.999999747378752e-05
1747536596.500299,95,9.999999747378752e-05
1747536660.1096697,96,9.999999747378752e-05
1747536726.976813,97,0.0
1747536809.464272,98,9.999999747378752e-05
1747536902.9566932,99,9.999999747378752e-05
1747536964.2684593,100,9.999999747378752e-05
1747537042.343647,101,9.999999747378752e-05
1747537109.503438,102,9.999999747378752e-05
1747537193.825933,103,9.999999747378752e-05
1747537262.6889546,104,9.999999747378752e-05
1747537338.4642901,105,9.999999747378752e-05
1747537424.6373737,106,9.999999747378752e-05
1747537492.351581,107,9.999999747378752e-05
1747537574.6073055,108,9.999999747378752e-05
1747537657.4825623,109,9.999999747378752e-05
1747537731.714895,110,9.999999747378752e-05
1747537803.0451238,111,9.999999747378752e-05
1747537875.4130843,112,9.999999747378752e-05
1747537940.8795002,113,9.999999747378752e-05
1747538027.2822769,114,9.999999747378752e-05
1747538093.733356,115,9.999999747378752e-05
1747538165.8392406,116,9.999999747378752e-05
1747538250.384084,117,9.999999747378752e-05
1747538335.3766215,118,9.999999747378752e-05
1747538420.9626713,119,9.999999747378752e-05
1747538497.6462932,120,9.999999747378752e-05
1747538569.18545,121,9.999999747378752e-05
1747538654.9629457,122,9.999999747378752e-05
1747538721.7175977,123,9.999999747378752e-05
1747538788.572104,124,9.999999747378752e-05
1747538855.193468,125,9.999999747378752e-05
1747538922.9663684,126,0.00019999999494757503
1747538998.400049,127,0.00019999999494757503
1747539075.1188593,128,0.00019999999494757503
1747539163.0432196,129,0.00019999999494757503
1747539241.8827038,130,0.00019999999494757503
1747539317.8612592,131,0.0003000000142492354
1747539394.1779811,132,0.0003000000142492354
1747539476.3990371,133,0.0003000000142492354
1747539537.2311094,134,0.0003000000142492354
1747539618.7882736,135,0.0005000000237487257
1747539680.4007683,136,0.00039999998989515007
1747539762.5988188,137,0.0006000000284984708
1747539830.6444597,138,0.0005000000237487257
1747539901.948951,139,0.0005000000237487257
1747539976.2854962,140,0.00039999998989515007
1747540051.8274152,141,0.00039999998989515007
1747540129.4108937,142,0.0006000000284984708
1747540192.7557008,143,0.000699999975040555
1747540261.792418,144,0.0005000000237487257
1747540341.7380095,145,0.000699999975040555
1747540413.4036016,146,0.0006000000284984708
1747540491.1548915,147,0.0005000000237487257
1747540561.4338913,148,0.0005000000237487257
1747540643.5518277,149,0.00039999998989515007
1747540719.8603575,150,0.0008999999845400453
1747540805.1900373,151,0.000699999975040555
1747540883.3831408,152,0.0006000000284984708
1747540955.6956677,153,0.0006000000284984708
1747541025.772127,154,0.0005000000237487257
1747541111.036574,155,0.000699999975040555
1747541179.0724988,156,0.0007999999797903001
1747541244.0073981,157,0.0007999999797903001
1747541312.2369246,158,0.0007999999797903001
1747541394.229207,159,0.0010000000474974513
1747541457.4718318,160,0.0012000000569969416
1747541543.8539834,161,0.000699999975040555
1747541619.3719466,162,0.0008999999845400453
1747541691.066656,163,0.0006000000284984708
1747541767.8501537,164,0.0007999999797903001
1747541840.5314379,165,0.000699999975040555
1747541907.9370987,166,0.0006000000284984708
1747541979.333418,167,0.0008999999845400453
1747542041.519901,168,0.0008999999845400453
1747542109.8812938,169,0.000699999975040555
1747542192.3174357,170,0.0007999999797903001
1747542252.1513371,171,0.0007999999797903001
1747542313.7763426,172,0.000699999975040555
1747542376.5937843,173,0.0008999999845400453
1747542432.1639245,174,0.0010000000474974513
1747542505.2711728,175,0.0007999999797903001
1747542577.5628417,176,0.000699999975040555
1747542650.3544133,177,0.0010999999940395355
1747542712.2638571,178,0.0008999999845400453
1747542780.2991729,179,0.0007999999797903001
1747542850.5871935,180,0.0010000000474974513
1747542911.7366526,181,0.0010999999940395355
1747542978.714029,182,0.0012000000569969416
1747543044.531802,183,0.0008999999845400453
1747543115.0630343,184,0.0012000000569969416
1747543175.076386,185,0.0010000000474974513
1747543238.153036,186,0.0012000000569969416
1747543302.1532955,187,0.0012000000569969416
1747543366.4375825,188,0.0010999999940395355
1747543427.90614,189,0.0012000000569969416
1747543508.2595217,190,0.0007999999797903001
1747543567.9691691,191,0.0012000000569969416
